#{"t_start": 1769935126.0300708, "env_id": "CartPole-v1"}
r,l,t
16.0,16,1.25648
23.0,23,1.262788
13.0,13,1.266023
13.0,13,1.269339
20.0,20,1.274684
13.0,13,1.278351
22.0,22,1.285278
34.0,34,1.293119
15.0,15,1.297539
21.0,21,1.303045
21.0,21,1.308751
14.0,14,1.31174
18.0,18,1.317135
23.0,23,1.323114
15.0,15,1.326105
12.0,12,1.329094
46.0,46,1.341995
14.0,14,1.344985
17.0,17,1.351774
14.0,14,1.355639
32.0,32,1.363693
9.0,9,1.367271
27.0,27,1.375623
14.0,14,1.379054
17.0,17,1.383504
11.0,11,1.38565
36.0,36,1.394397
11.0,11,1.397765
24.0,24,1.40331
22.0,22,1.408808
17.0,17,1.413195
22.0,22,1.417526
17.0,17,1.422014
10.0,10,1.424153
17.0,17,1.428554
24.0,24,1.435033
14.0,14,1.438261
41.0,41,1.447375
24.0,24,1.453902
24.0,24,1.459342
21.0,21,1.464325
14.0,14,1.468311
9.0,9,1.470305
11.0,11,1.473294
28.0,28,1.479714
23.0,23,1.48592
32.0,32,1.493094
17.0,17,1.497115
19.0,19,1.501405
16.0,16,1.505828
31.0,31,1.513371
17.0,17,1.517681
16.0,16,1.520966
15.0,15,1.525284
25.0,25,1.530784
18.0,18,1.535939
32.0,32,1.542918
16.0,16,1.546905
13.0,13,1.549895
21.0,21,1.555383
21.0,21,1.560366
34.0,34,1.569704
65.0,65,1.584929
10.0,10,1.587019
9.0,9,1.589158
14.0,14,1.593462
13.0,13,1.597638
12.0,12,1.599784
12.0,12,1.603001
19.0,19,1.608418
28.0,28,1.614806
42.0,42,1.624773
9.0,9,1.628219
21.0,21,1.632888
16.0,16,1.637057
15.0,15,1.64117
19.0,19,1.645544
12.0,12,1.647697
48.0,48,1.659951
35.0,35,1.668921
17.0,17,1.673099
15.0,15,1.677085
59.0,59,1.691126
37.0,37,1.700578
20.0,20,1.706079
30.0,30,1.713056
15.0,15,1.717042
35.0,35,1.726087
22.0,22,1.73148
18.0,18,1.736478
27.0,27,1.74246
19.0,19,1.747443
14.0,14,1.750839
16.0,16,1.75456
12.0,12,1.75777
10.0,10,1.759921
10.0,10,1.763548
9.0,9,1.765541
80.0,80,2.52314
31.0,31,2.53636
51.0,51,2.552701
91.0,91,2.581093
12.0,12,2.584586
39.0,39,2.599781
28.0,28,2.608902
53.0,53,2.624922
13.0,13,2.628909
20.0,20,2.635885
12.0,12,2.639873
24.0,24,2.64685
40.0,40,2.667285
23.0,23,2.676255
23.0,23,2.687218
56.0,56,2.709642
31.0,31,2.716618
21.0,21,2.722598
61.0,61,2.736552
11.0,11,2.739543
24.0,24,2.745523
15.0,15,2.74951
25.0,25,2.755002
18.0,18,2.759986
18.0,18,2.763972
18.0,18,2.768955
38.0,38,2.777926
23.0,23,2.783906
16.0,16,2.787892
39.0,39,2.797374
46.0,46,2.808337
68.0,68,2.824549
47.0,47,2.837836
15.0,15,2.840933
19.0,19,2.846234
22.0,22,2.853235
30.0,30,2.860288
14.0,14,2.863442
30.0,30,2.871575
46.0,46,2.883824
30.0,30,2.890299
21.0,21,2.895687
29.0,29,2.903721
16.0,16,2.906933
18.0,18,2.911237
27.0,27,2.918946
16.0,16,2.923224
85.0,85,2.944221
68.0,68,2.964201
21.0,21,2.969271
20.0,20,2.974544
15.0,15,2.978569
10.0,10,2.980956
24.0,24,2.986761
29.0,29,2.994169
32.0,32,3.002397
53.0,53,3.015608
19.0,19,3.021466
12.0,12,3.023631
17.0,17,3.027866
17.0,17,3.032383
51.0,51,3.045127
22.0,22,3.052289
21.0,21,3.057112
23.0,23,3.062462
21.0,21,3.068159
36.0,36,3.076781
16.0,16,3.08174
37.0,37,3.883039
31.0,31,3.892009
73.0,73,3.916257
27.0,27,3.924586
24.0,24,3.93256
18.0,18,3.93854
15.0,15,3.943524
47.0,47,3.963963
87.0,87,3.99037
86.0,86,4.022722
36.0,36,4.038669
59.0,59,4.067446
45.0,45,4.079777
18.0,18,4.083914
89.0,89,4.105378
31.0,31,4.116247
33.0,33,4.126029
48.0,48,4.13804
12.0,12,4.141387
85.0,85,4.162697
51.0,51,4.175183
39.0,39,4.184981
26.0,26,4.191426
49.0,49,4.20386
29.0,29,4.211329
25.0,25,4.218415
89.0,89,4.240454
44.0,44,4.251788
18.0,18,4.256609
27.0,27,4.263462
149.0,149,4.302412
125.0,125,4.334445
22.0,22,4.339072
26.0,26,4.346332
73.0,73,4.36515
54.0,54,4.37826
68.0,68,4.396446
144.0,144,4.43327
41.0,41,4.444287
23.0,23,4.450664
59.0,59,5.182636
63.0,63,5.205559
59.0,59,5.223499
76.0,76,5.24742
87.0,87,5.274067
83.0,83,5.301695
252.0,252,5.39186
111.0,111,5.419485
64.0,64,5.434582
90.0,90,5.456562
18.0,18,5.460863
88.0,88,5.482366
62.0,62,5.49731
26.0,26,5.504051
91.0,91,5.525829
129.0,129,5.560319
18.0,18,5.566169
72.0,72,5.584272
62.0,62,5.599828
20.0,20,5.604499
35.0,35,5.613201
48.0,48,5.625737
128.0,128,5.657623
63.0,63,5.675131
111.0,111,5.702948
41.0,41,5.713301
96.0,96,5.737681
123.0,123,6.515722
189.0,189,6.574013
215.0,215,6.648719
174.0,174,6.697333
147.0,147,6.734451
117.0,117,6.761555
46.0,46,6.773635
115.0,115,6.80287
130.0,130,6.836422
101.0,101,6.861465
192.0,192,6.912985
109.0,109,6.939326
88.0,88,6.961364
122.0,122,6.993767
139.0,139,7.028452
